,levels.factor.species_abundance_3.scientific_name..,
1,[Bacteroides] pectinophilus,[Bacteroides] pectinophilus: Bacteroidaceae
2,[Clostridium] asparagiforme,[Clostridium] asparagiforme: Clostridiaceae
3,[Clostridium] bolteae,[Clostridium] bolteae: Lachnospiraceae
4,[Clostridium] citroniae,[Clostridium] citroniae: Clostridiaceae
5,[Clostridium] clostridioforme,[Clostridium] clostridioforme: Clostridiaceae
6,[Clostridium] innocuum,[Clostridium] innocuum: Clostridiaceae
7,[Clostridium] leptum,[Clostridium] leptum: Ruminococcaceae
8,[Clostridium] methylpentosum,[Clostridium] methylpentosum: Clostridiaceae
9,[Clostridium] scindens,[Clostridium] scindens: Lachnospiraceae
10,[Clostridium] symbiosum,[Clostridium] symbiosum: Lachnospiraceae
11,[Eubacterium] eligens,[Eubacterium] eligens: Eubacteriaceae
12,[Eubacterium] hallii,[Eubacterium] hallii: Lachnospiraceae
13,[Eubacterium] rectale,[Eubacterium] rectale: Lachnospiraceae
14,[Eubacterium] siraeum,[Eubacterium] siraeum: Eubacteriaceae
15,[Ruminococcus] gnavus,[Ruminococcus] gnavus: Ruminococcaceae
16,[Ruminococcus] torques,[Ruminococcus] torques: Ruminococcaceae
17,Acidaminococcus intestini,Acidaminococcus intestini: Acidaminococcaceae
18,Actinomyces odontolyticus,Actinomyces odontolyticus: Actinomycetaceae
19,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens: Coriobacteriaceae
20,Akkermansia muciniphila,Akkermansia muciniphila: Akkermansiaceae
21,Alistipes finegoldii,Alistipes finegoldii: Rikenellaceae
22,Alistipes indistinctus,Alistipes indistinctus: Rikenellaceae
23,Alistipes obesi,Alistipes obesi: Rikenellaceae
24,Alistipes onderdonkii,Alistipes onderdonkii: Rikenellaceae
25,Alistipes putredinis,Alistipes putredinis: Rikenellaceae
26,Alistipes senegalensis,Alistipes senegalensis: Rikenellaceae
27,Alistipes shahii,Alistipes shahii: Rikenellaceae
28,Alistipes sp. HGB5,Alistipes sp. HGB5: Rikenellaceae
29,Anaerostipes hadrus,Anaerostipes hadrus: Lachnospiraceae
30,Anaerotruncus colihominis,Anaerotruncus colihominis: Lachnospiraceae
31,Bacteroides caccae,Bacteroides caccae: Bacteroidaceae
32,Bacteroides cellulosilyticus,Bacteroides cellulosilyticus: Bacteroidaceae
33,Bacteroides clarus,Bacteroides clarus: Bacteroidaceae
34,Bacteroides coprocola,Bacteroides coprocola: Bacteroidaceae
35,Bacteroides coprophilus,Bacteroides coprophilus: Bacteroidaceae
36,Bacteroides dorei,Bacteroides dorei: Bacteroidaceae
37,Bacteroides eggerthii,Bacteroides eggerthii: Bacteroidaceae
38,Bacteroides faecis,Bacteroides faecis: Bacteroidaceae
39,Bacteroides finegoldii,Bacteroides finegoldii: Bacteroidaceae
40,Bacteroides fragilis,Bacteroides fragilis: Bacteroidaceae
41,Bacteroides intestinalis,Bacteroides intestinalis: Bacteroidaceae
42,Bacteroides massiliensis,Bacteroides massiliensis: Bacteroidaceae
43,Bacteroides nordii,Bacteroides nordii: Bacteroidaceae
44,Bacteroides oleiciplenus,Bacteroides oleiciplenus: Bacteroidaceae
45,Bacteroides ovatus,Bacteroides ovatus: Bacteroidaceae
46,Bacteroides salyersiae,Bacteroides salyersiae: Bacteroidaceae
47,Bacteroides sp. 1_1_6,Bacteroides sp. 1_1_6: Bacteroidaceae
48,Bacteroides sp. 2_1_22,Bacteroides sp. 2_1_22: Bacteroidaceae
49,Bacteroides stercoris,Bacteroides stercoris: Bacteroidaceae
50,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron: Bacteroidaceae
51,Bacteroides uniformis,Bacteroides uniformis: Bacteroidaceae
52,Bacteroides vulgatus,Bacteroides vulgatus: Bacteroidaceae
53,Bacteroides xylanisolvens,Bacteroides xylanisolvens: Bacteroidaceae
54,Barnesiella intestinihominis,Barnesiella intestinihominis: Porphyromonadaceae
55,Bifidobacterium adolescentis,Bifidobacterium adolescentis: Bifidobacteriaceae
56,Bifidobacterium animalis,Bifidobacterium animalis: Bifidobacteriaceae
57,Bifidobacterium bifidum,Bifidobacterium bifidum: Bifidobacteriaceae
58,Bifidobacterium catenulatum,Bifidobacterium catenulatum: Bifidobacteriaceae
59,Bifidobacterium longum,Bifidobacterium longum: Bifidobacteriaceae
60,Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum: Bifidobacteriaceae
61,Bilophila wadsworthia,Bilophila wadsworthia: Desulfovibrionaceae
62,Blautia hydrogenotrophica,Blautia hydrogenotrophica: Lachnospiraceae
63,Blautia obeum,Blautia obeum: Lachnospiraceae
64,Blautia producta,Blautia producta: Lachnospiraceae
65,Burkholderiales bacterium 1_1_47,Burkholderiales bacterium 1_1_47: Burkholderiaceae
66,Butyricimonas synergistica,Butyricimonas synergistica: Porphyromonadaceae
67,Butyrivibrio crossotus,Butyrivibrio crossotus: Lachnospiraceae
68,Candidatus Alistipes marseilloanorexicus AP11,Candidatus Alistipes marseilloanorexicus AP11: Rikenellaceae
69,Catenibacterium mitsuokai,Catenibacterium mitsuokai: Coriobacteriaceae
70,Chlorobium phaeobacteroides,Chlorobium phaeobacteroides: Chlorobiaceae
71,Clostridiaceae bacterium JC118,Clostridiaceae bacterium JC118: Clostridiaceae
72,Clostridiales bacterium 1_7_47FAA,Clostridiales bacterium 1_7_47FAA: Clostridiaceae
73,Clostridium sp. ATCC BAA-442,Clostridium sp. ATCC BAA-442: Clostridiaceae
74,Collinsella aerofaciens,Collinsella aerofaciens: Coriobacteriaceae
75,Collinsella intestinalis,Collinsella intestinalis: Coriobacteriaceae
76,Collinsella stercoris,Collinsella stercoris: Coriobacteriaceae
77,Collinsella tanakaei,Collinsella tanakaei: Coriobacteriaceae
78,Coprobacter fastidiosus,Coprobacter fastidiosus: Eggerthellaceae
79,Coprococcus catus,Coprococcus catus: Lachnospiraceae
80,Coprococcus comes,Coprococcus comes: Lachnospiraceae
81,Coprococcus eutactus,Coprococcus eutactus: Lachnospiraceae
82,Coprococcus sp. ART55/1,Coprococcus sp. ART55/1: Lachnospiraceae
83,Desulfovibrio desulfuricans,Desulfovibrio desulfuricans: Desulfovibrionaceae
84,Desulfovibrio piger,Desulfovibrio piger: Desulfovibrionaceae
85,Dialister invisus,Dialister invisus: Veillonellaceae
86,Dorea formicigenerans,Dorea formicigenerans: Lachnospiraceae
87,Dorea longicatena,Dorea longicatena: Lachnospiraceae
88,Eggerthella lenta,Eggerthella lenta: Coriobacteriaceae
89,Enorma massiliensis phI,Enorma massiliensis phI: Lachnospiraceae
90,Enterobacter cloacae,Enterobacter cloacae: Enterobacteriaceae
91,Erysipelatoclostridium ramosum,Erysipelatoclostridium ramosum: Clostridiaceae
92,Erysipelotrichaceae bacterium 2_2_44A,Erysipelotrichaceae bacterium 2_2_44A: Erysipelotrichaceae
93,Erysipelotrichaceae bacterium 21_3,Erysipelotrichaceae bacterium 21_3: Erysipelotrichaceae
94,Erysipelotrichaceae bacterium 6_1_45,Erysipelotrichaceae bacterium 6_1_45: Erysipelotrichaceae
95,Escherichia coli,Escherichia coli: Enterobacteriaceae
96,Eubacterium limosum,Eubacterium limosum: Eubacteriaceae
97,Eubacterium ramulus,Eubacterium ramulus: Eubacteriaceae
98,Eubacterium sp. 3_1_31,Eubacterium sp. 3_1_31: Eubacteriaceae
99,Eubacterium ventriosum,Eubacterium ventriosum: Eubacteriaceae
100,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii: Ruminococcaceae
101,Flavonifractor plautii,Flavonifractor plautii: Clostridiaceae
102,Fusobacterium mortiferum,Fusobacterium mortiferum: Fusobacteriaceae
103,Gordonibacter pamelaeae,Gordonibacter pamelaeae: Eggerthellaceae
104,Haemophilus parainfluenzae,Haemophilus parainfluenzae: Pasteurellaceae
105,Haemophilus pittmaniae,Haemophilus pittmaniae: Pasteurellaceae
106,Holdemanella biformis,Holdemanella biformis: Lachnospiraceae
107,Holdemania filiformis,Holdemania filiformis: Lachnospiraceae
108,Hungatella hathewayi,Hungatella hathewayi: Peptostreptococcaceae
109,Intestinibacter bartlettii,Intestinibacter bartlettii: Erysipelotrichaceae
110,Klebsiella pneumoniae,Klebsiella pneumoniae: Enterobacteriaceae
111,Lachnospiraceae bacterium 1_1_57FAA,Lachnospiraceae bacterium 1_1_57FAA: Lachnospiraceae
112,Lachnospiraceae bacterium 1_4_56FAA,Lachnospiraceae bacterium 1_4_56FAA: Lachnospiraceae
113,Lachnospiraceae bacterium 2_1_46FAA,Lachnospiraceae bacterium 2_1_46FAA: Lachnospiraceae
114,Lachnospiraceae bacterium 2_1_58FAA,Lachnospiraceae bacterium 2_1_58FAA: Lachnospiraceae
115,Lachnospiraceae bacterium 3_1_46FAA,Lachnospiraceae bacterium 3_1_46FAA: Lachnospiraceae
116,Lachnospiraceae bacterium 3_1_57FAA_CT1,Lachnospiraceae bacterium 3_1_57FAA_CT1: Lachnospiraceae
117,Lachnospiraceae bacterium 5_1_57FAA,Lachnospiraceae bacterium 5_1_57FAA: Lachnospiraceae
118,Lachnospiraceae bacterium 5_1_63FAA,Lachnospiraceae bacterium 5_1_63FAA: Lachnospiraceae
119,Lachnospiraceae bacterium 7_1_58FAA,Lachnospiraceae bacterium 7_1_58FAA: Lachnospiraceae
120,Lachnospiraceae bacterium 8_1_57FAA,Lachnospiraceae bacterium 8_1_57FAA: Lachnospiraceae
121,Lactococcus lactis,Lactococcus lactis: Streptococcaceae
122,Marvinbryantia formatexigens,Marvinbryantia formatexigens: Lachnospiraceae
123,Megamonas funiformis,Megamonas funiformis: Veillonellaceae
124,Megamonas hypermegale,Megamonas hypermegale: Veillonellaceae
125,Methanobrevibacter smithii,Methanobrevibacter smithii: Methanobacteriaceae
126,Mitsuokella multacida,Mitsuokella multacida: Veillonellaceae
127,Odoribacter laneus,Odoribacter laneus: Porphyromonadaceae
128,Odoribacter splanchnicus,Odoribacter splanchnicus: Porphyromonadaceae
129,Oscillibacter sp. KLE 1728,Oscillibacter sp. KLE 1728: Oscillospiraceae
130,Oscillibacter sp. KLE 1745,Oscillibacter sp. KLE 1745: Oscillospiraceae
131,Other,Other: Other
132,Oxalobacter formigenes,Oxalobacter formigenes: Oxalobacteraceae
133,Parabacteroides distasonis,Parabacteroides distasonis: Tannerellaceae
134,Parabacteroides goldsteinii,Parabacteroides goldsteinii: Tannerellaceae
135,Parabacteroides johnsonii,Parabacteroides johnsonii: Tannerellaceae
136,Parabacteroides merdae,Parabacteroides merdae: Tannerellaceae
137,Paraprevotella clara,Paraprevotella clara: Prevotellaceae
138,Paraprevotella xylaniphila,Paraprevotella xylaniphila: Prevotellaceae
139,Parasutterella excrementihominis,Parasutterella excrementihominis: Succinivibrionaceae
140,Phascolarctobacterium succinatutens,Phascolarctobacterium succinatutens: Succinivibrionaceae
141,Prevotella bivia,Prevotella bivia: Prevotellaceae
142,Prevotella copri,Prevotella copri: Prevotellaceae
143,Prevotella denticola,Prevotella denticola: Prevotellaceae
144,Prevotella disiens,Prevotella disiens: Prevotellaceae
145,Prevotella stercorea,Prevotella stercorea: Prevotellaceae
146,Prevotella veroralis,Prevotella veroralis: Prevotellaceae
147,Propionibacterium freudenreichii,Propionibacterium freudenreichii: Propionibacteriaceae
148,Pseudoflavonifractor capillosus,Pseudoflavonifractor capillosus: Lachnospiraceae
149,Pseudomonas fragi,Pseudomonas fragi: Pseudomonadaceae
150,Roseburia hominis,Roseburia hominis: Lachnospiraceae
151,Roseburia intestinalis,Roseburia intestinalis: Lachnospiraceae
152,Roseburia inulinivorans,Roseburia inulinivorans: Lachnospiraceae
153,Rothia mucilaginosa,Rothia mucilaginosa: Micrococcaceae
154,Ruminococcaceae bacterium D16,Ruminococcaceae bacterium D16: Ruminococcaceae
155,Ruminococcus albus,Ruminococcus albus: Ruminococcaceae
156,Ruminococcus bromii,Ruminococcus bromii: Ruminococcaceae
157,Ruminococcus callidus,Ruminococcus callidus: Ruminococcaceae
158,Ruminococcus champanellensis,Ruminococcus champanellensis: Ruminococcaceae
159,Ruminococcus flavefaciens,Ruminococcus flavefaciens: Ruminococcaceae
160,Ruminococcus lactaris,Ruminococcus lactaris: Ruminococcaceae
161,Shigella sonnei,Shigella sonnei: Enterobacteriaceae
162,Slackia piriformis,Slackia piriformis: Coriobacteriaceae
163,Streptococcus australis,Streptococcus australis: Streptococcaceae
164,Streptococcus gordonii,Streptococcus gordonii: Streptococcaceae
165,Streptococcus mitis,Streptococcus mitis: Streptococcaceae
166,Streptococcus mutans,Streptococcus mutans: Streptococcaceae
167,Streptococcus parasanguinis,Streptococcus parasanguinis: Streptococcaceae
168,Streptococcus salivarius,Streptococcus salivarius: Streptococcaceae
169,Streptococcus sanguinis,Streptococcus sanguinis: Streptococcaceae
170,Streptococcus thermophilus,Streptococcus thermophilus: Streptococcaceae
171,Streptococcus vestibularis,Streptococcus vestibularis: Streptococcaceae
172,Subdoligranulum sp. 4_3_54A2FAA,Subdoligranulum sp. 4_3_54A2FAA: Coriobacteriaceae
173,Subdoligranulum variabile,Subdoligranulum variabile: Coriobacteriaceae
174,Sutterella wadsworthensis,Sutterella wadsworthensis: Sutterellaceae
175,Veillonella atypica,Veillonella atypica: Veillonellaceae
176,Veillonella dispar,Veillonella dispar: Veillonellaceae
177,Veillonella parvula,Veillonella parvula: Veillonellaceae
